brand_id,quarter_date,fiscal_year,fiscal_quarter,net_sales_m,is_derived
1,2024-05-04,2024,1,1900,false
2,2024-05-04,2024,1,689,false
3,2024-05-04,2024,1,440,false
4,2024-05-04,2024,1,329,false
1,2024-08-03,2024,2,2100,false
2,2024-08-03,2024,2,766,false
3,2024-08-03,2024,2,479,false
4,2024-08-03,2024,2,338,false
1,2024-11-02,2024,3,2200,true
2,2024-11-02,2024,3,865,true
3,2024-11-02,2024,3,436,true
4,2024-11-02,2024,3,337,true
1,2025-02-01,2024,4,2200,false
2,2025-02-01,2024,4,980,false
3,2025-02-01,2024,4,545,false
4,2025-02-01,2024,4,396,false
